,Property ID,Building name,Street address,Number of floors (above ground),Predominant space use,Accessibility type,Accessibility type description,Accessibility rating,x coordinate,y coordinate,Street level
609,109300,Unknown building name,273 Swanston Street MELBOURNE 3000,2.0,Entertainment/Recreation - Indoor,High level of accessibility,Main Entrance has ramp,3.0,144.9645,-37.8119,Swanston Street
610,105702,Unknown building name,369-371 Lonsdale Street MELBOURNE 3000,3.0,Retail - Shop,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9617,-37.8128,Lonsdale Street
611,101168,AUSTRALIA POST,640-652 Bourke Street MELBOURNE 3000,3.0,Storage,Low level of accessibility,All entrances have steps,1.0,144.9544,-37.8162,Bourke Street
612,105834,Unknown building name,109 Little Bourke Street MELBOURNE 3000,3.0,Office,Low level of accessibility,All entrances have steps,1.0,144.9692,-37.8115,Little Bourke Street
613,103232,HENDERSONS BUILDING,483-485 Elizabeth Street MELBOURNE 3000,3.0,Residential Apartment,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9598,-37.8077,Elizabeth Street
614,103327,ANA,28-32 Elizabeth Street MELBOURNE 3000,9.0,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9649,-37.8173,Elizabeth Street
615,106031,Unknown building name,466-468 Little Lonsdale Street MELBOURNE 3000,1.0,Unoccupied - Under Construction,Low level of accessibility,All entrances have steps,1.0,144.9556,-37.8129,Little Lonsdale Street
616,103201,Unknown building name,291-293 Elizabeth Street MELBOURNE 3000,2.0,Unoccupied - Unused,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9617,-37.8118,Elizabeth Street
617,102121,WESTERN HOUSE,77-89 William Street MELBOURNE 3000,10.0,Office,Low level of accessibility,All entrances have steps,1.0,144.9587,-37.8174,William Street
618,109262,Unknown building name,27-29 Swanston Street MELBOURNE 3000,3.0,Entertainment/Recreation - Indoor,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9668,-37.8169,Swanston Street
619,103223,Unknown building name,427 Elizabeth Street MELBOURNE 3000,2.0,Retail - Shop,Low level of accessibility,All entrances have steps,1.0,144.9604,-37.809,Elizabeth Street
620,105296,EXCHANGE SQUARE,43-61 King Street MELBOURNE 3000,8.0,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9565,-37.8192,King Street
621,110102,MELBOURNE MAGISTRATES COURT,233-245 William Street MELBOURNE 3000,9.0,"Performances, Conferences, Ceremonies",High level of accessibility,Main Entrance has ramp,3.0,144.9568,-37.8135,William Street
622,105383,Unknown building name,212-224 King Street MELBOURNE 3000,3.0,Unoccupied - Unused,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9554,-37.815,King Street
623,105491,Unknown building name,58-66 La Trobe Street MELBOURNE 3000,4.0,Parking - Commercial Covered,Low level of accessibility,All entrances have steps,1.0,144.9669,-37.8083,La Trobe Street
624,103176,Unknown building name,97-103 Elizabeth Street MELBOURNE 3000,8.0,Unoccupied - Under Renovation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9635,-37.8159,Elizabeth Street
625,110139,RADISSON ON FLAGSTAFF GARDENS HOTEL,370-384 William Street MELBOURNE 3000,12.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9561,-37.8103,William Street
626,110721,FORMER ODDFELLOWS HOTEL,33-39 Little Lonsdale Street MELBOURNE 3000,2.0,Unoccupied - Under Construction,Low level of accessibility,All entrances have steps,1.0,144.9707,-37.8092,Little Lonsdale Street
627,103924,INARC,107-109 Flinders Lane MELBOURNE 3000,5.0,Office,Low level of accessibility,All entrances have steps,1.0,144.9708,-37.8156,Flinders Lane
628,105438,EXHIBITION EXCHANGE,288-326 Exhibition Street MELBOURNE 3000,18.0,Equipment Installation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9697,-37.8085,Exhibition Street
629,103925,AUSTIN HOUSE,121-123 Flinders Lane MELBOURNE 3000,7.0,Office,Low level of accessibility,All entrances have steps,1.0,144.9705,-37.8157,Flinders Lane
630,100398,STAMFORD PLAZA,7-19 Alfred Place MELBOURNE 3000,5.0,"Performances, Conferences, Ceremonies",Low level of accessibility,All entrances have steps,1.0,144.9699,-37.814,Alfred Place
631,110761,CHAPTER HOUSE,197-209 Flinders Lane MELBOURNE 3000,4.0,Office,Low level of accessibility,All entrances have steps,1.0,144.9677,-37.8168,Flinders Lane
632,105671,OAKFORD GORDON TOWERS,43-51 Lonsdale Street MELBOURNE 3000,7.0,Commercial Accommodation,Low level of accessibility,All entrances have steps,1.0,144.9709,-37.81,Lonsdale Street
633,109406,Unknown building name,172 Swanston Street MELBOURNE 3000,3.0,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.966,-37.8137,Swanston Street
634,105310,Unknown building name,213-215 King Street MELBOURNE 3000,3.0,Unoccupied - Unused,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9549,-37.8152,King Street
635,103293,STORK HOTEL,502-504 Elizabeth Street MELBOURNE 3000,2.0,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1.0,144.9604,-37.8072,Elizabeth Street
636,108591,Hero Apartments,114-120 Russell Street MELBOURNE 3000,15.0,Residential Apartment,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2.0,144.969,-37.8135,Russell Street
637,103953,LABASSA HOUSE,353-355 Flinders Lane MELBOURNE 3000,6.0,Residential Apartment,Low level of accessibility,All entrances have steps,1.0,144.9627,-37.8179,Flinders Lane
638,558107,Melbourne Childrens Court,451-477 Little Lonsdale Street MELBOURNE 3000,3.0,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9583,-37.8126,Little Lonsdale Street
639,101196,Unknown building name,284-292 Bourke Street MELBOURNE 3000,5.0,Retail - Shop,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9648,-37.8133,Bourke Street
640,108593,The Brooks,24-30 Russell Street MELBOURNE 3000,8.0,Residential Apartment,Low level of accessibility,All entrances have steps,1.0,144.9699,-37.816,Russell Street
641,103993,Unknown building name,508-514 Flinders Street MELBOURNE 3000,3.0,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1.0,144.9572,-37.8202,Flinders Street
642,105386,Unknown building name,192-194 King Street MELBOURNE 3000,2.0,Unoccupied - Unused,Low level of accessibility,All entrances have steps,1.0,144.9556,-37.8155,King Street
643,108115,SOUTH AUSTRALIAN INSURANCE,20-26 Queen Street MELBOURNE 3000,9.0,Office,Low level of accessibility,All entrances have steps,1.0,144.9625,-37.8182,Queen Street
644,105856,STAWELL CHAMBERS,493-495 Little Bourke Street MELBOURNE 3000,4.0,Office,Low level of accessibility,All entrances have steps,1.0,144.9582,-37.8147,Little Bourke Street
645,102131,Sebel of Melbourne,394 Collins Street MELBOURNE 3000,8.0,Commercial Accommodation,Low level of accessibility,All entrances have steps,1.0,144.961,-37.8166,Collins Street
646,108059,LOMBARD HOUSE,13-17 Queen Street MELBOURNE 3000,7.0,Office,Low level of accessibility,All entrances have steps,1.0,144.9619,-37.8185,Queen Street
647,108088,TELSTRA,382-406 Queen Street MELBOURNE 3000,6.0,Parking - Commercial Covered,High level of accessibility,Main Entrance has ramp,3.0,144.9587,-37.8094,Queen Street
648,102126,SINGAPORE AIRLINES HOUSE,416-420 Collins Street MELBOURNE 3000,11.0,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9603,-37.817,Collins Street
649,101152,461 BOURKE STREET,457-471 Bourke Street MELBOURNE 3000,21.0,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9602,-37.8155,Bourke Street
650,108531,RUSSELL STREET THEATRE,19-25 Russell Street MELBOURNE 3000,2.0,Unoccupied - Unused,Low level of accessibility,All entrances have steps,1.0,144.9692,-37.8162,Russell Street
651,102171,VICTOR HORSLEY CHAMBERS,10-12 Collins Street MELBOURNE 3000,6.0,Hospital/Clinic,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2.0,144.9731,-37.8132,Collins Street
652,105302,Unknown building name,179 King Street MELBOURNE 3000,3.0,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1.0,144.9552,-37.816,King Street
653,108085,CARLYON HOUSE,373 Queen Street MELBOURNE 3000,2.0,Office,Low level of accessibility,All entrances have steps,1.0,144.958,-37.8098,Queen Street
654,105693,GOLDEN SQUARE CAR PARK,217-231 Lonsdale Street MELBOURNE 3000,3.0,Parking - Commercial Covered,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9659,-37.8118,Lonsdale Street
655,103324,Unknown building name,88 Elizabeth Street MELBOURNE 3000,3.0,Storage,Low level of accessibility,All entrances have steps,1.0,144.9642,-37.8158,Elizabeth Street
656,105955,FAIRFAX HOUSE,392-396 Little Collins Street MELBOURNE 3000,5.0,Commercial Accommodation,Low level of accessibility,All entrances have steps,1.0,144.9615,-37.8156,Little Collins Street
657,105902,CITY LIMITS HOTEL,20-22 Little Bourke Street MELBOURNE 3000,9.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9718,-37.8104,Little Bourke Street
658,105986,Unknown building name,42-44 Little La Trobe Street MELBOURNE 3000,3.0,Residential Apartment,Low level of accessibility,All entrances have steps,1.0,144.9623,-37.8093,Little La
659,109279,Unknown building name,157-159 Swanston Street MELBOURNE 3000,3.0,Storage,High level of accessibility,Main Entrance has ramp,3.0,144.9656,-37.8141,Swanston Street
660,103308,Unknown building name,368-378 Elizabeth Street MELBOURNE 3000,6.0,Educational/Research,Moderate level of accessibility,Entrance(s) have limited access via a small lip or a steep ramp,2.0,144.9618,-37.81,Elizabeth Street
661,101169,UNITY HALL,636-638 Bourke Street MELBOURNE 3000,4.0,Unoccupied - Unused,Low level of accessibility,All entrances have steps,1.0,144.9547,-37.8163,Bourke Street
662,109388,STATE LIBRARY OF VICTORIA & MUSEUM OF VICTORIA,304-328 Swanston Street MELBOURNE 3000,6.0,Community Use,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2.0,144.9653,-37.8098,Swanston Street
663,106913,Unknown building name,23-25 Niagara Lane MELBOURNE 3000,3.0,Residential Apartment,Low level of accessibility,All entrances have steps,1.0,144.9613,-37.8131,Niagara Lane
664,109264,55 SWANSTON STREET,45-63 Swanston Street MELBOURNE 3000,14.0,Educational/Research,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9666,-37.8163,Swanston Street
665,109411,Unknown building name,150 Swanston Street MELBOURNE 3000,2.0,Storage,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9662,-37.8141,Swanston Street
666,103221,Unknown building name,421 Elizabeth Street MELBOURNE 3000,2.0,Storage,Low level of accessibility,All entrances have steps,1.0,144.9605,-37.8091,Elizabeth Street
667,109387,CITY BATHS,420-438 Swanston Street MELBOURNE 3000,3.0,Entertainment/Recreation - Indoor,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2.0,144.9635,-37.807,Swanston Street
668,105841,Unknown building name,315-321 Little Bourke Street MELBOURNE 3000,8.0,Storage,High level of accessibility,Main Entrance has ramp,3.0,144.9635,-37.8134,Little Bourke Street
669,110765,LEICESTER HOUSE,302-308 Flinders Lane MELBOURNE 3000,6.0,Residential Apartment,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9639,-37.8172,Flinders Lane
670,105932,Unknown building name,421-423 Little Collins Street MELBOURNE 3000,2.0,Retail - Shop,Low level of accessibility,All entrances have steps,1.0,144.9606,-37.8162,Little Collins Street
671,109398,226 SWANSTON ST,226-228 Swanston Street MELBOURNE 3000,5.0,Retail - Shop,Low level of accessibility,All entrances have steps,1.0,144.9655,-37.8125,Swanston Street
672,103219,Unknown building name,413-417 Elizabeth Street MELBOURNE 3000,2.0,Workshop/Studio,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9605,-37.8092,Elizabeth Street
673,106048,Unknown building name,152-156 Little Lonsdale Street MELBOURNE 3000,3.0,Unoccupied - Unused,Low level of accessibility,All entrances have steps,1.0,144.9674,-37.8095,Little Lonsdale Street
674,108986,EUROPEAN,161 Spring Street MELBOURNE 3000,2.0,Entertainment/Recreation - Indoor,High level of accessibility,Main Entrance has ramp,3.0,144.9724,-37.811,Spring Street
675,110151,SWANN HOUSE,22-38 William Street MELBOURNE 3000,11.0,Office,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2.0,144.96,-37.8188,William Street
676,103933,MCDONALD HOUSE,165 Flinders Lane MELBOURNE 3000,8.0,Residential Apartment,Low level of accessibility,All entrances have steps,1.0,144.969,-37.816,Flinders Lane
677,105964,SHOCKO HOUSE,188-194 Little Collins Street MELBOURNE 3000,4.0,Residential Apartment,High level of accessibility,Main Entrance has ramp,3.0,144.9676,-37.8139,Little Collins Street
678,101234,Unknown building name,18 Bourke Street MELBOURNE 3000,2.0,Retail - Shop,Low level of accessibility,All entrances have steps,1.0,144.9724,-37.8113,Bourke Street
679,109437,Unknown building name,4-12 Tattersalls Lane MELBOURNE 3000,3.0,Office,Low level of accessibility,All entrances have steps,1.0,144.9658,-37.8121,Tattersalls Lane
680,106016,THE COLLONADE,385-389 Little Lonsdale Street MELBOURNE 3000,4.0,Office,Low level of accessibility,All entrances have steps,1.0,144.9605,-37.8118,Little Lonsdale Street
681,108551,Unknown building name,219 Russell Street MELBOURNE 3000,3.0,Retail - Shop,Low level of accessibility,All entrances have steps,1.0,144.9672,-37.8115,Russell Street
682,106434,Unknown building name,14-16 Market Lane MELBOURNE 3000,3.0,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1.0,144.9695,-37.8119,Market Lane
683,105461,PARKVIEW,497-503 La Trobe Street MELBOURNE 3000,10.0,Office,Moderate level of accessibility,Entrance(s) have limited access via a small lip or a steep ramp,2.0,144.9545,-37.8126,La Trobe Street
684,102158,Unknown building name,86-88 Collins Street MELBOURNE 3000,3.0,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1.0,144.9706,-37.8139,Collins Street
685,108977,THE PHILADELPHIA APARTMENTS,25-31 Spring Street MELBOURNE 3000,25.0,Residential Apartment,Low level of accessibility,All entrances have steps,1.0,144.9741,-37.8145,Spring Street
686,103328,COMMONWEALTH BANK BUILDING,2-26 Elizabeth Street MELBOURNE 3000,17.0,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9651,-37.8176,Elizabeth Street
687,108989,PARK TOWER,199-207 Spring Street MELBOURNE 3000,18.0,Residential Apartment,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9721,-37.8101,Spring Street
688,102128,ST GEORGES BANK,408-410 Collins Street MELBOURNE 3000,12.0,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9607,-37.8169,Collins Street
689,103217,Cecil Walker Cycle Sports Stores,395-397 Elizabeth Street MELBOURNE 3000,2.0,Storage,Low level of accessibility,All entrances have steps,1.0,144.9607,-37.8097,Elizabeth Street
690,104020,FORUM THEATRE,150-162 Flinders Street MELBOURNE 3000,6.0,"Performances, Conferences, Ceremonies",Low level of accessibility,All entrances have steps,1.0,144.9694,-37.8165,Flinders Street
691,105375,280 KING STREET,276-282 King Street MELBOURNE 3000,2.0,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9548,-37.8135,King Street
692,102174,ALCASTON HOUSE,2 Collins Street MELBOURNE 3000,8.0,Hospital/Clinic,Low level of accessibility,All entrances have steps,1.0,144.9735,-37.8131,Collins Street
693,105448,Unknown building name,289 La Trobe Street MELBOURNE 3000,2.0,Retail - Shop,Low level of accessibility,All entrances have steps,1.0,144.9607,-37.8108,La Trobe Street
694,103946,Unknown building name,313-315 Flinders Lane MELBOURNE 3000,7.0,Office,Low level of accessibility,All entrances have steps,1.0,144.9639,-37.8176,Flinders Lane
695,101159,TOWER HOUSE,607-619 Bourke Street MELBOURNE 3000,20.0,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9556,-37.8168,Bourke Street
696,105394,Unknown building name,62-66 King Street MELBOURNE 3000,2.0,Storage,Low level of accessibility,All entrances have steps,1.0,144.9571,-37.8187,King Street
697,103991,Unknown building name,520-522 Flinders Street MELBOURNE 3000,2.0,Parking - Private Covered,Low level of accessibility,All entrances have steps,1.0,144.9569,-37.8202,Flinders Street
698,102152,Georges Building,162-168 Collins Street MELBOURNE 3000,4.0,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9678,-37.8145,Collins Street
699,104662,HARDWARE COURT,106-112 Hardware Street MELBOURNE 3000,4.0,Office,Low level of accessibility,All entrances have steps,1.0,144.9607,-37.8121,Hardware Street
700,110763,THE MARK ON COLLINS,319-325 Collins Street MELBOURNE 3000,13.0,Residential Apartment,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9637,-37.8168,Collins Street
701,103933,MCDONALD HOUSE,165 Flinders Lane MELBOURNE 3000,7.0,Residential Apartment,Low level of accessibility,All entrances have steps,1.0,144.969,-37.816,Flinders Lane
702,102069,Unknown building name,107-113 Collins Street MELBOURNE 3000,8.0,Office,Low level of accessibility,All entrances have steps,1.0,144.9703,-37.8147,Collins Street
703,104025,101 COLLINS ST CAR PARK,114-128 Flinders Street MELBOURNE 3000,6.0,Parking - Commercial Covered,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9708,-37.8159,Flinders Street
704,104778,HAYWARD ON LA TROBE,62-68 Hayward Lane MELBOURNE 3000,6.0,Residential Apartment,Low level of accessibility,All entrances have steps,1.0,144.967,-37.8091,Hayward Lane
705,104023,EPSTEIN HOUSE,134-136 Flinders Street MELBOURNE 3000,7.0,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9704,-37.8163,Flinders Street
706,105393,SWISH CAFE,68-70 King Street MELBOURNE 3000,1.0,Storage,Low level of accessibility,All entrances have steps,1.0,144.9571,-37.8186,King Street
707,105884,Unknown building name,206 Little Bourke Street MELBOURNE 3000,2.0,Retail - Shop,Low level of accessibility,All entrances have steps,1.0,144.9665,-37.812,Little Bourke Street
708,105920,Unknown building name,269 Little Collins Street MELBOURNE 3000,2.0,Retail - Shop,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9655,-37.8149,Little Collins Street
709,108579,Unknown building name,248-250 Russell Street MELBOURNE 3000,2.0,Retail - Shop,Moderate level of accessibility,Entrance(s) have limited access via a small lip or a steep ramp,2.0,144.9673,-37.8104,Russell Street
710,103323,Unknown building name,90 Elizabeth Street MELBOURNE 3000,3.0,Retail - Shop,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9642,-37.8158,Elizabeth Street
711,511516,Unknown building name,469 Elizabeth Street MELBOURNE 3000,2.0,Retail - Shop,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.96,-37.808,Elizabeth Street
712,102198,Unknown building name,22-26 Corrs Lane MELBOURNE 3000,3.0,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1.0,144.9683,-37.811,Corrs Lane
713,109273,PAULS BUILDING,139-141 Swanston Street MELBOURNE 3000,3.0,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1.0,144.9657,-37.8144,Swanston Street
714,101786,Unknown building name,12-14 Celestial Avenue MELBOURNE 3000,1.0,Storage,Low level of accessibility,All entrances have steps,1.0,144.9664,-37.8119,Celestial Avenue
715,102167,STANDARD CHARTERED HOUSE,30-34 Collins Street MELBOURNE 3000,16.0,Office,Low level of accessibility,All entrances have steps,1.0,144.9725,-37.8135,Collins Street
716,104089,CITY MAZDA,386-412 William Street MELBOURNE 3000,3.0,Retail - Cars,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9561,-37.8098,William Street
717,106505,KELVIN CLUB,14-30 Melbourne Place MELBOURNE 3000,2.0,Entertainment/Recreation - Indoor,Moderate level of accessibility,Entrance(s) have limited access via a small lip or a steep ramp,2.0,144.9689,-37.8132,Melbourne Place
718,104019,MASONIC CLUB BUILDING,164-170 Flinders Street MELBOURNE 3000,9.0,Residential Apartment,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9691,-37.8167,Flinders Street
719,105669,Unknown building name,23-33 Lonsdale Street MELBOURNE 3000,1.0,Unoccupied - Under Construction,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9714,-37.8099,Lonsdale Street
720,105487,Unknown building name,208-210 La Trobe Street MELBOURNE 3000,2.0,Unoccupied - Unused,Low level of accessibility,All entrances have steps,1.0,144.963,-37.8096,La Trobe Street
721,104931,Unknown building name,7-11 Hosier Lane MELBOURNE 3000,3.0,Hospital/Clinic,Low level of accessibility,All entrances have steps,1.0,144.969,-37.8164,Hosier Lane
722,108063,FEDSDA HOUSE,53-57 Queen Street MELBOURNE 3000,12.0,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9615,-37.8176,Queen Street
723,105380,TRAMWAY UNION HOUSE,232 King Street MELBOURNE 3000,3.0,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1.0,144.9553,-37.8147,King Street
724,103302,Unknown building name,422-440 Elizabeth Street MELBOURNE 3000,11.0,Educational/Research,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.961,-37.8086,Elizabeth Street
725,102149,CLYDE HOUSE,182 Collins Street MELBOURNE 3000,9.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9674,-37.8148,Collins Street
726,111500,KIOSK,90 Therry Street MELBOURNE 3000,1.0,Retail - Stall,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9577,-37.8076,Therry Street
727,101119,Devon House,137-141 Bourke Street MELBOURNE 3000,3.0,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1.0,144.9692,-37.8128,Bourke Street
728,110091,15W,15-33 William Street MELBOURNE 3000,21.0,Unoccupied - Unused,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9592,-37.8193,William Street
729,108590,Unknown building name,122 Russell Street MELBOURNE 3000,2.0,Entertainment/Recreation - Indoor,Moderate level of accessibility,Entrance(s) have limited access via a small lip or a steep ramp,2.0,144.9687,-37.8134,Russell Street
730,100171,Unknown building name,48-50 A'Beckett Street MELBOURNE 3000,2.0,Unoccupied - Unused,Low level of accessibility,All entrances have steps,1.0,144.9616,-37.8087,A'Beckett Street
731,102079,WALES CORNER,221-231 Collins Street MELBOURNE 3000,17.0,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9663,-37.8158,Collins Street
732,110097,MMI HOUSE,171-175 William Street MELBOURNE 3000,14.0,Unoccupied - Unused,Low level of accessibility,All entrances have steps,1.0,144.9575,-37.8151,William Street
733,111206,Unknown building name,107-113 Elizabeth Street MELBOURNE 3000,6.0,Unoccupied - Unused,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9634,-37.8157,Elizabeth Street
734,104652,CYCLONE HOUSE,17-19 Hardware Lane MELBOURNE 3000,3.0,Retail - Shop,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9614,-37.8142,Hardware Lane
735,103188,TEDS CAMERA STORES,235-237 Elizabeth Street MELBOURNE 3000,2.0,Retail - Shop,Low level of accessibility,All entrances have steps,1.0,144.9622,-37.8131,Elizabeth Street
736,109403,Unknown building name,210 Swanston Street MELBOURNE 3000,2.0,Retail - Shop,Low level of accessibility,All entrances have steps,1.0,144.9656,-37.8128,Swanston Street
737,108068,RACV BUILDING,111-129 Queen Street MELBOURNE 3000,16.0,Entertainment/Recreation - Indoor,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2.0,144.9606,-37.8158,Queen Street
738,103626,Unknown building name,114-122 Exhibition Street MELBOURNE 3000,2.0,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1.0,144.9712,-37.8129,Exhibition Street
739,106012,ST FRANCIS CHURCH MONASTERY,326 Lonsdale Street MELBOURNE 3000,4.0,Institutional Accommodation,Low level of accessibility,All entrances have steps,1.0,144.9626,-37.8116,Lonsdale Street
740,105873,CAMPTON HOUSE,362-364 Little Bourke Street MELBOURNE 3000,4.0,Residential Apartment,Low level of accessibility,All entrances have steps,1.0,144.9617,-37.8133,Little Bourke Street
741,105860,SLATER & GORDON,562-566 Little Bourke Street MELBOURNE 3000,4.0,Residential Apartment,Low level of accessibility,All entrances have steps,1.0,144.9557,-37.815,Little Bourke Street
742,109292,Unknown building name,243-249 Swanston Street MELBOURNE 3000,3.0,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1.0,144.9647,-37.8123,Swanston Street
743,110708,FLAGSTAFF CARPARK,535 Little Lonsdale Street MELBOURNE 3000,13.0,Parking - Commercial Covered,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.956,-37.8135,Little Lonsdale Street
744,105742,ASKEW HOUSE,364-372 Lonsdale Street MELBOURNE 3000,6.0,Unoccupied - Unused,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9615,-37.8122,Lonsdale Street
745,100445,ANTHONY FRANKLIN CHAMBERS,21-23 Anthony Street MELBOURNE 3000,3.0,Residential Apartment,Low level of accessibility,All entrances have steps,1.0,144.9588,-37.8091,Anthony Street
746,101148,PROVINCIAL HOUSE,405-411 Bourke Street MELBOURNE 3000,5.0,Unoccupied - Under Renovation,Low level of accessibility,All entrances have steps,1.0,144.9619,-37.8149,Bourke Street
747,109676,CO-OPERATION HOUSE,11-17 Victoria Street MELBOURNE 3000,2.0,Unoccupied - Unused,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9681,-37.8074,Victoria Street
748,105760,FORMER PRINCESS MARY CLUB,118-122 Lonsdale Street MELBOURNE 3000,5.0,Unoccupied - Unused,Low level of accessibility,All entrances have steps,1.0,144.9682,-37.8099,Lonsdale Street
749,107003,Unknown building name,10-20 Oliver Lane MELBOURNE 3000,5.0,Office,Low level of accessibility,All entrances have steps,1.0,144.9703,-37.8161,Oliver Lane
750,103198,MICHAELS BUILDING,265-269 Elizabeth Street MELBOURNE 3000,3.0,Storage,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9621,-37.8125,Elizabeth Street
751,102135,CITIBANK CENTRE,344-350 Collins Street MELBOURNE 3000,16.0,Office,High level of accessibility,Main Entrance has ramp,3.0,144.9627,-37.816,Collins Street
752,105705,NIAGRA HOTEL,383-387 Lonsdale Street MELBOURNE 3000,3.0,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1.0,144.9612,-37.8128,Lonsdale Street
753,558316,CITY POINT ON BOURKE,654-670 Bourke Street MELBOURNE 3000,31.0,Residential Apartment,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.954,-37.8163,Bourke Street
754,102112,TRANSCOMM HOUSE,568-580 Collins Street MELBOURNE 3000,4.0,Office,Moderate level of accessibility,Entrance(s) have limited access via a small lip or a steep ramp,2.0,144.9554,-37.8184,Collins Street
755,106374,EMERALD COMMERCIAL,18-22 McKillop Street MELBOURNE 3000,7.0,Residential Apartment,Low level of accessibility,All entrances have steps,1.0,144.9618,-37.8151,McKillop Street
756,108971,HOLIDAY INN ON FLINDERS,561-585 Flinders Lane MELBOURNE 3000,9.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9552,-37.8202,Flinders Lane
757,102078,Unknown building name,189 Collins Street MELBOURNE 3000,2.0,Entertainment/Recreation - Indoor,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9677,-37.8155,Collins Street
